COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Chesapeake City" "20 - E W Chittum" 13 4 9 0 0
"Chesapeake City" "20 - E W Chittum" 1412 635 767 9 1
"Chesapeake City" "21 - Fellowship" 1245 578 651 16 0
"Chesapeake City" "22 - Norfolk Highlands" 689 318 359 12 0
"Chesapeake City" "23 - Oak Grove" 1207 683 510 12 2
"Chesapeake City" "24 - Oaklette" 965 598 343 22 2
"Chesapeake City" "25 - St Julians" 582 322 248 12 0
"Chesapeake City" "26 - Johnson Park" 509 346 154 9 0
"Chesapeake City" "27 - Silverwood" 1487 700 761 25 1
"Chesapeake City" "28 - Sunray I" 176 50 125 1 0
"Chesapeake City" "29 - Tanglewood" 953 315 618 19 1
"Chesapeake City" "30 - South Norfolk" 549 512 20 17 0
"Chesapeake City" "31 - Carver School" 1245 1068 158 16 3
"Chesapeake City" "32 - Providence" 1397 1327 58 12 0
"Chesapeake City" "33 - Westover" 639 250 378 9 2
"Chesapeake City" "34 - Hickory Middle School" 1713 487 1205 20 1
"Chesapeake City" "35 - Taylor Road" 797 558 220 18 1
"Chesapeake City" "36 - Great Bridge Baptist Church" 1804 696 1088 20 0
"Chesapeake City" "37 - Bridgetown" 1025 421 588 16 0
"Chesapeake City" "38 - Bailey Creek" 1109 377 724 8 0
"Chesapeake City" "39 - Lake Drummond" 512 194 310 8 0
"Chesapeake City" "40 - River Birch" 1432 851 570 11 0
"Chesapeake City" "41 - John T West" 1874 1114 735 25 0
"Chesapeake City" "42 - Parkways" 1033 630 393 10 0
"Chesapeake City" "43 - Pleasant Crossing" 1038 304 725 8 1
"Chesapeake City" "44 - Nansemond" 889 526 355 6 2
"Chesapeake City" "45 - Sunray Ii" 479 336 135 8 0
"Chesapeake City" "46 - Bells Mill Ii" 1084 527 540 17 0
"Chesapeake City" "47 - Green Sea" 671 210 448 13 0
"Chesapeake City" "48 - Jolliff Middle School" 1419 1298 103 17 1
"Chesapeake City" "49 - Waterway" 2249 1111 1122 16 0
"Chesapeake City" "50 - River Walk" 1288 782 490 16 0
